NAME,25th,75th,Total
Mount St. Mary's University,1000,1210,2000
St. Joseph's College--Brooklyn,1020,1190,2000
Eastern Kentucky University,1020,1190,2000
Faulkner University,1020,1190,2000
Fort Lewis College,1010,1200,2000
Sierra Nevada University,1020,1190,2000
Faith Baptist Bible College and Theological Seminary,950,1260,2000
West Virginia University Institute of Technology,1020,1190,2000
Lycoming College,1010,1198,2000
University of Illinois--Springfield,990,1218,2000
Goshen College,995,1210,2000
Xavier University of Louisiana,1016,1189,2000
Ashland University,975,1230,2000
Southwest Baptist University,990,1213,2000
Wright State University,970,1233,2000
Texas Tech University,1070,1240,2000
University of Hartford,1050,1250,2000
Wilkes University,1050,1240,2000
Pace University,1060,1220,2000
Regis University,1050,1230,2000
Kent State University,1030,1210,2000
East Carolina University,1040,1190,2000
University of Massachusetts--Dartmouth,990,1190,2000
Marietta College,990,1210,2000
College of St. Benedict,1000,1200,2000
Meredith College,1000,1200,2000
Bryn Athyn College of the New Church,996,1203,2000
Sweet Briar College,990,1210,2000
LaGrange College,1020,1180,2000
University of North Alabama,1010,1190,2000
Coastal Carolina University,1030,1170,2000
Marywood University,1010,1190,2000
SUNY Brockport,1020,1180,2000
Lancaster Bible College,1000,1200,2000
Spring Hill College,1015,1185,2000
University of Tennessee--Chattanooga,990,1210,2000
John Paul the Great Catholic University,960,1240,2000
Southern Virginia University,960,1237,2000
Judson College,1030,1165,2000
Oklahoma Baptist University,990,1200,2000
California State University--Chico,1000,1190,2000
Stockton University,1000,1190,2000
Rider University,1000,1190,2000
California Baptist University,990,1200,2000
Winona State University,1000,1190,2000
Mississippi University for Women,1080,1110,2000
Reinhardt University,1000,1190,2000
Mount St. Mary College,1020,1170,2000
Roosevelt University,1010,1180,2000
Saginaw Valley State University,990,1200,2000
Texas State University,1010,1180,2000
Elmhurst University,993,1190,2000
Loras College,998,1183,2000
Wartburg College,1020,1160,2000
Maine Maritime Academy,1000,1180,2000
Lee University,960,1220,2000
Walsh University,990,1190,2000
Stephens College,970,1210,2000
Ursuline College,1020,1160,2000
Carlow University,1000,1180,2000
Slippery Rock University of Pennsylvania,1010,1170,2000
Dakota State University,960,1220,2000
Newman University,1000,1180,2000
Rockford University,990,1190,2000
University of Michigan--Flint,980,1200,2000
University of Northern Colorado,990,1190,2000
University of Minnesota--Crookston,998,1176,2000
University of the Cumberlands,995,1180,2000
Millikin University,960,1210,2000
Farmingdale State College--SUNY,1010,1160,2000
University of Washington--Tacoma,980,1190,2000
Hardin-Simmons University,1000,1170,2000
Huntington University,990,1180,2000
Alfred University,970,1200,2000
North Greenville University,850,1320,2000
Western Colorado University,1000,1170,2000
Point Park University,980,1190,2000
Millersville University of Pennsylvania,990,1180,2000
Northwest Missouri State University,976,1193,2000
Liberty University,970,1200,2000
Stephen F. Austin State University,990,1180,2000
Western Kentucky University,980,1190,2000
Northwood University,990,1180,2000
University of Mount Union,968,1200,2000
Benedictine University,980,1188,2000
University of North Carolina--Charlotte,1120,1270,2000
Nova Southeastern University,1080,1290,2000
University of Nevada--Reno,1070,1280,2000
Western New England University,1060,1250,2000
Azusa Pacific University,1020,1240,2000
George Fox University,1020,1230,2000
Gannon University,1020,1220,2000
University of Colorado Denver,1020,1210,2000
University of St. Francis,1030,1190,2000
Lincoln Memorial University,1003,1198,2000
Edgewood College,970,1220,2000
University of Indianapolis,990,1180,2000
Clarke University,930,1096,2000
Rocky Mountain College,990,1175,2000
Lubbock Christian University,955,1210,2000
Westfield State University,1000,1165,2000
Heidelberg University,990,1170,2000
McPherson College,990,1170,2000
Iona College,990,1170,2000
Anderson University (IN),1000,1160,2000
Lynn University,990,1170,2000
Concordia University Chicago,990,1170,2000
